wavelength,measured_power,predicted_power
700,0.00453,0.011205408
710,0.00551,0.013629536
720,0.00766,0.018947776
730,0.00884,0.021866624
740,0.00869,0.021495583999999998
750,0.00937,0.023177631999999997
760,0.00764,0.018898303999999998
770,0.00831,0.020555616
780,0.00685,0.01694416
790,0.00776,0.019195135999999998
800,0.00686,0.016968895999999997
810,0.00926,0.022905535999999997
820,0.00824,0.020382464
830,0.00796,0.019689856
840,0.00728,0.018007808
850,0.00787,0.019467231999999998
860,0.00756,0.018700415999999997
870,0.00601,0.014866335999999997
880,0.00833,0.020605088
890,0.00777,0.019219872
900,0.0074,0.01830464
