step,handy-end,handy-mid,set,ratio
700000,1.59E-04,3.27E-05,6.10E-05,4.86E+00
1000000,5.60E-05,1.17E-05,2.40E-05,4.79E+00
1300000,2.60E-05,5.50E-06,1.30E-05,4.73E+00
1600000,1.65E-05,4.00E-06,1.00E-06,4.13E+00
700000,1.67E-04,3.50E-05,4.90E-05,4.77E+00
1000000,6.00E-05,1.26E-05,1.90E-05,4.76E+00
1300000,2.79E-05,6.54E-06,1.20E-05,4.27E+00
1600000,1.75E-05,4.60E-06,3.00E-06,3.80E+00
700000,1.70E-04,3.60E-05,4.70E-05,4.72E+00
1000000,6.00E-05,1.30E-05,8.00E-06,4.62E+00
1300000,2.80E-05,6.70E-06,1.00E-06,4.18E+00
1600000,1.83E-05,5.07E-06,0.00E+00,3.61E+00
