step,handy-end,set,handy-mid,ratio
500000,4.60E-03,6.86E-04,7.00E-04,6.571428571
700000,2.16E-03,3.14E-04,3.30E-04,6.545454545
900000,1.07E-03,1.40E-04,1.60E-04,6.6875
1100000,6.06E-04,8.20E-05,8.60E-05,7.046511628
1400000,3.17E-04,2.30E-05,4.30E-05,7.372093023
